Meal,Category,Area,Instructions,MealThumb,Source,Ingredients
Vegan Lasagna,Vegan,Italian,"1) Preheat oven to 180 degrees celcius. 
2) Boil vegetables for 5-7 minutes, until soft. Add lentils and bring to a gentle simmer, adding a stock cube if desired. Continue cooking and stirring until the lentils are soft, which should take about 20 minutes. 
3) Blanch spinach leaves for a few minutes in a pan, before removing and setting aside. 
4) Top up the pan with water and cook the lasagne sheets. When cooked, drain and set aside.
5) To make the sauce, melt the butter and add the flour, then gradually add the soya milk along with the mustard and the vinegar. Cook and stir until smooth and then assemble the lasagne as desired in a baking dish. 
6) Bake in the preheated oven for about 25 minutes.",https://www.themealdb.com/images/media/meals/rvxxuy1468312893.jpg,,"1 cups green red lentils, 1 carrot, 1 onion, 1 small zucchini, sprinking coriander, 150g spinach, 10 lasagne sheets, 35g vegan butter, 4 tablespoons flour, 300ml soya milk, 1.5 teaspoons mustard, 1 teaspoon vinegar,  ,  ,  ,  ,  ,  ,  ,  "
Chocolate Gateau,Desert,French,"Preheat the oven to 180°C/350°F/Gas Mark 4. Grease and line the base of an 8 in round spring form cake tin with baking parchment
Break the chocolate into a heatproof bowl and place over a saucepan of gently simmering water and stir until it melts. (or melt in the microwave for 2-3 mins stirring occasionally)
Place the butter and sugar in a mixing bowl and cream together with a wooden spoon until light and fluffy. Gradually beat in the eggs, adding a little flour if the mixture begins to curdle. Fold in the remaining flour with the cooled, melted chocolate and milk. Mix until smooth.
Spread the mixture into the cake tin and bake for 50-55 mins or until firm in the centre and a skewer comes out cleanly. Cool for 10 minutes, then turn out and cool completely.",https://www.themealdb.com/images/media/meals/tqtywx1468317395.jpg,http://www.goodtoknow.co.uk/recipes/536028/chocolate-gateau,"250g Plain chocolate, 175g Butter, 2 tablespoons Milk, 5 Eggs, 175g Granulated Sugar, 125g Flour,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Mediterranean Pasta Salad,Chicken,Italian,"Bring a large saucepan of salted water to the boil
Add the pasta, stir once and cook for about 10 minutes or as directed on the packet.
Meanwhile, wash the tomatoes and cut into quarters. Slice the olives. Wash the basil.
Put the tomatoes into a salad bowl and tear the basil leaves over them. Add a tablespoon of olive oil and mix.
When the pasta is ready, drain into a colander and run cold water over it to cool it quickly.
Toss the pasta into the salad bowl with the tomatoes and basil.
Add the sliced olives, drained mozzarella balls, and chunks of tuna. Mix well and let the salad rest for at least half an hour to allow the flavours to mingle.
Sprinkle the pasta with a generous grind of black pepper and drizzle with the remaining olive oil just before serving.",https://www.themealdb.com/images/media/meals/wvqpwt1468339226.jpg,https://thelemonsqueezy.com/recipe/mediterranean-pasta-salad/,"200 g mozzarella balls, 250 g baby plum tomatoes, 1  bunch fresh basil, 350 g farfalle, 3  tablespoons extra virgin olive oil, 40 g Green Olives, 200 g tuna, to taste salt, to taste pepper,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Cream Cheese Tart,Starter,Unknown,"Crust: make a dough from 250g flour (I like mixing different flours like plain and wholegrain spelt flour), 125g butter, 1 egg and a pinch of salt, press it into a tart form and place it in the fridge. Filling: stir 300g cream cheese and 100ml milk until smooth, add in 3 eggs, 100g grated parmesan cheese and season with salt, pepper and nutmeg. Take the crust out of the fridge and prick the bottom with a fork. Pour in the filling and bake at 175 degrees C for about 25 minutes. Cover the tart with some aluminium foil after half the time. In the mean time, slice about 350g mini tomatoes. In a small pan heat 3tbsp olive oil, 3tbsp white vinegar, 1 tbsp honey, salt and pepper and combine well. Pour over the tomato slices and mix well. With a spoon, place the tomato slices on the tart, avoiding too much liquid on it. Decorate with basil leaves and enjoy",https://www.themealdb.com/images/media/meals/wurrux1468416624.jpg,https://www.instagram.com/p/BHyuMZ1hZX0,"250g Flour, 125g Butter, 1 Egg, Pinch Salt, 300g Cheese, 100ml milk Milk, 3 Eggs, 100g Parmesan Cheese, 350g Plum tomatoes, 3tbsp White Vinegar, 1 tbsp Honey, Topping Basil,  ,  ,  ,  ,  ,  ,  ,  "
Potato Gratin with Chicken,Chicken,Unknown,"15 minute potato gratin with chicken and bacon greens: a gratin always seems more effort and more indulgent than ordinary boiled or roasts, but it doesn't have to take 45mins, it's nice for a change and you can control the calorie content by going with full fat to low fat creme fraiche. (It's always tastes better full fat though obviously!) to serve 4: use 800g of potatoes, finely slice and boil in a pan for about 5-8 mins till firmish, not soft. Finely slice 3 onions and place in an oven dish with 2 tblsp of olive oil and 100ml of chicken stock. Cook till the onions are soft then drain the potatoes and pour onto the onions. Season and spoon over cream or creme fraiche till all is covered but not swimming. Grate Parmesan over the top then finish under the grill till nicely golden. serve with chicken and bacon, peas and spinach.",https://www.themealdb.com/images/media/meals/qwrtut1468418027.jpg,https://www.instagram.com/p/BHxR7hYBJ6P,"800g Potatoes, 3 Onions, 2 tblsp Olive Oil, 100ml Chicken Stock, 1 pot Creme Fraiche, Topping Parmesan, 4 Chicken Breasts, 4 Bacon, Topping Spinach, Topping Peas,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Irish stew,Beef,Irish,"Heat the oven to 180C/350F/gas mark 4. Drain and rinse the soaked wheat, put it in a medium pan with lots of water, bring to a boil and simmer for an hour, until cooked. Drain and set aside.

Season the lamb with a teaspoon of salt and some black pepper. Put one tablespoon of oil in a large, deep sauté pan for which you have a lid; place on a medium-high heat. Add some of the lamb – don't overcrowd the pan – and sear for four minutes on all sides. Transfer to a bowl, and repeat with the remaining lamb, adding oil as needed.

Lower the heat to medium and add a tablespoon of oil to the pan. Add the shallots and fry for four minutes, until caramelised. Tip these into the lamb bowl, and repeat with the remaining vegetables until they are all nice and brown, adding more oil as you need it.

Once all the vegetables are seared and removed from the pan, add the wine along with the sugar, herbs, a teaspoon of salt and a good grind of black pepper. Boil on a high heat for about three minutes.

Tip the lamb, vegetables and whole wheat back into the pot, and add the stock. Cover and boil for five minutes, then transfer to the oven for an hour and a half.

Remove the stew from the oven and check the liquid; if there is a lot, remove the lid and boil for a few minutes.",https://www.themealdb.com/images/media/meals/sxxpst1468569714.jpg,http://www.ottolenghi.co.uk/recipes/meat/irish-stew-shop,"300g soaked overnight in water whole wheat, 2kg cut into 3cm cubes lamb loin chops, 120ml olive oil, 24 Skinned shallots, 4 large carrots, 2 turnips, 1 celeriac, 350g charlotte potatoes, 150ml white wine, 1 tsp caster sugar, 4 sprigs fresh thyme, 4 sprigs oregano, 450ml chicken stock,  ,  ,  ,  ,  ,  ,  "
Lamb tomato and sweet spices,Chicken,Moroccan,"Use pickled vine leaves here, preserved in brine. Small delicate leaves are better than the large bristly ones but, if only large leaves are to hand, then trim them to roughly 12 by 12 cms so that you don't get too many layers of leaves around the filling. And remove any stalks. Drain the preserved leaves, immerse them in boiling water for 10 minutes and then leave to dry on a tea towel before use. 
Basmati rice with butter and pine nuts is an ideal accompaniment. Couscous is great, too. Serves four.
First make the filling. Put all the ingredients, apart from the tomatoes, in a bowl. Cut the tomatoes in half, coarsely grate into the bowl and discard the skins. Add half a teaspoon of salt and some black pepper, and stir. Leave on the side, or in the fridge, for up to a day. Before using, gently squeeze with your hands and drain away any juices that come out.
To make the sauce, heat the oil in a medium pan. Add the ginger and garlic, cook for a minute or two, taking care not to burn them, then add the tomato, lemon juice and sugar. Season, and simmer for 20 minutes.
While the sauce is bubbling away, prepare the vine leaves. Use any torn or broken leaves to line the base of a wide, heavy saucepan. Trim any leaves from the fennel, cut it vertically into 0.5cm-thick slices and spread over the base of the pan to cover completely.
Lay a prepared vine leaf (see intro) on a work surface, veiny side up. Put two teaspoons of filling at the base of the leaf in a 2cm-long by 1cm-wide strip. Fold the sides of the leaf over the filling, then roll it tightly from bottom to top, in a cigar shape. Place in the pan, seam down, and repeat with the remaining leaves, placing them tightly next to each other in lines or circles (in two layers if necessary).
Pour the sauce over the leaves (and, if needed, add water just to cover). Place a plate on top, to weigh the leaves down, then cover with a lid. Bring to a boil, reduce the heat and cook on a bare simmer for 70 minutes. Most of the liquid should evaporate. Remove from the heat, and leave to cool a little - they are best served warm. When serving, bring to the table in the pan - it looks great. Serve a few vine leaves and fennel slices with warm rice. Spoon the braising juices on top and garnish with coriander.",https://www.themealdb.com/images/media/meals/qtwtss1468572261.jpg,http://www.ottolenghi.co.uk/recipes/meat/lamb-tomato-and-sweet-spices-shop,"2 tbsp olive oil, 4cm piece finely chopped ginger, 2 cloves peeled and chopped garlic, 800g peeled and chopped  tomatoes, 2 tbsp lemon juice, 1 tsp caster sugar, 50 vine leaves, 1 large fennel bulb, 400g lamb mince, 1 medium onion, 1 small peeled and coarsely grated potato, 2 tbsp basmati rice, 2 tbsp chopped parsley, 2 tbsp chopped coriander, 1 tbsp lemon juice, 2 cloves garlic, ½ tsp ground clove, ½ tsp ground  cinnamon, 2 medium tomatoes,  "
Rigatoni with fennel sausage sauce,Lamb,Moroccan,"Heat a tablespoon of oil in a large saute pan for which you have a lid. Add the sausage pieces and fry on a medium-high heat for 10 minutes, stirring regularly, until golden-brown all over. Transfer the sausages to a plate, then add the onion and fennel to the hot pan and fry for 15 minutes, stirring once in a while, until soft and caramelised; if the pan goes a bit dry, add a teaspoon or so of extra oil. Stir in the paprika, garlic and half the fennel seeds, fry for two minutes more, then pour on the wine and boil for 30 seconds, to reduce by half. Add the tomatoes, sugar, 100ml water, the seared sausage and half a teaspoon of salt, cover and simmer for 30 minutes; remove the lid after 10 minutes, and cook until the sauce is thick and rich. Remove from the heat, stir through the olives and remaining fennel seeds and set aside until you’re ready to serve.

Bring a large pot of salted water to a boil, add the pasta and cook for 12-14 minutes (or according to the instructions on the packet), until al dente. Meanwhile, reheat the sauce. Drain the pasta, return it to the pot, stir in a tablespoon of oil, then divide between the bowls. 

Put all the pesto ingredients except the basil in the small bowl of a food processor. Add a tablespoon of water and blitz to a rough paste. Add the basil, then blitz until just combined (the pesto has a much better texture if the basil is not overblended).

Spoon over the ragù and top with a spoonful of pesto. Finish with a sprinkling of chopped fennel fronds, if you have any, and serve at once.",https://www.themealdb.com/images/media/meals/qtqvys1468573168.jpg,http://www.ottolenghi.co.uk/recipes/meat/rigatoni-with-fennel-sausage-sauce-and-pecorino-and-anchovy-pesto-shop,"2½ tbsp olive oil, 6 cut into 1.5cm-thick slices Italian fennel sausages, 1 large peeled and chopped onion, 1 trimmed and roughly chopped; reserve any fronds to garnish fennel bulb, ½ tsp smoky paprika, 1 clove, peeled and sliced garlic, 2 tsp lightly toasted and then gently crushed fennel seeds, 100ml red wine, 400g tinned chopped tomatoes, ½ tsp caster sugar, 50g cut in half lengthways pitted black olives, 500g rigatoni, 30g roughly crumbled into 0.5cm pieces pecorino, 1  rinsed and patted dry anchovy fillet, 1 clove, peeled and crushed garlic, 60ml olive oil, 50g torn basil leaves,  ,  ,  "
Smoky Lentil Chili with Squash,Vegetarian,British,"Begin by roasting the squash. Slice it into thin crescents and drizzle with a little oil and sprinkle with sea salt. I added a fresh little sage I had in the fridge, but it’s unnecessary. Roast the squash a 205 C (400 F) for 20-30 minutes, flipping halfway through, until soft and golden. Let cool and chop into cubes.
Meanwhile, rinse the lentils and cover them with water. Bring them to the boil then turn down to a simmer and let cook (uncovered) for 20-30 minutes, or until tender. Drain and set aside.
While the lentils are cooking heat the 1 Tbsp. of oil on low in a medium pot. Add the onions and leeks and sauté for 5 or so minutes, or until they begin to soften. Add the garlic next along with the cumin and coriander, cooking for a few more minutes. Add the remaining spices – paprika, cinnamon, chilli, cocoa, Worcestershire sauce, salt, and oregano. Next add the can of tomatoes, the water or stock, and carrots. Let simmer, covered, for 20 minutes or until the veg is tender and the mixture has thickened up. You’ll need to check on the pot periodically for a stir and a top of of liquid if needed.
Add the lentils and chopped roasted squash. Let cook for 10 more minutes to heat through.
Serve with sliced jalapeno, lime wedges, cilantro, green onions, and cashew sour cream.

SIMPLE CASHEW SOUR CREAM

1 Cup Raw Unsalted Cashews
Pinch Sea Salt
1 tsp. Apple Cider Vinegar
Water

Bring some water to the boil, and use it to soak the cashews for at least four hours. Alternatively, you can use cold water and let the cashews soak overnight, but I’m forgetful/lazy, so often use the boil method which is much faster.
After the cashews have soaked, drain them and add to a high speed blender. Begin to puree, slowly adding about 1/2 cup fresh water, until a creamy consistency is reached. You may need to add less or more water to reach the desired consistency.
Add a pinch of sea salt and vinegar (or lemon juice).",https://www.themealdb.com/images/media/meals/uwxqwy1483389553.jpg,http://www.wholeheartedeats.com/2016/11/smoky-lentil-chili-squash/,"1 tbls Olive Oil, 1 Onion, 1 chopped Leek, 3 cloves Garlic, 4 tsp ground  Cumin, 2 tsp ground Coriander, 1 tsp Smoked Paprika, 1/2 tsp Cinnamon, 1 tsp Chili Powder, 1 tsp Cocoa, 1/2 tsp Dried Oregano, 1 can Diced Tomatoes, 3 cups Water, 3 chopped Carrots, 1 1/2 cups Brown Lentils, 1 tsp Sea Salt, 1 Small Squash, 1 Cup Cashews, 1 tsp Apple Cider Vinegar,  "
Dal fry,Vegetarian,Indian,"Wash and soak toor dal in approx. 3 cups of water, for at least one hours. Dal will be double in volume after soaking. Drain the water.
Cook dal with 2-1/2 cups water and add salt, turmeric, on medium high heat, until soft in texture (approximately 30 mins) it should be like thick soup.
In a frying pan, heat the ghee. Add cumin seeds, and mustard seeds. After the seeds crack, add bay leaves, green chili, ginger and chili powder. Stir for a few seconds.
Add tomatoes, salt and sugar stir and cook until tomatoes are tender and mushy.
Add cilantro and garam masala cook for about one minute.
Pour the seasoning over dal mix it well and cook for another minute.
Serve with Naan.",https://www.themealdb.com/images/media/meals/wuxrtu1483564410.jpg,https://www.instagram.com/p/BO21bpYD3Fu,"1 cup Toor dal, 2-1/2 cups Water, 1 tsp Salt, 1/4 tsp Turmeric, 3 tbs Ghee, 1 cup Chopped tomatoes, 1/2 tsp Cumin seeds, 1/2 tsp Mustard Seeds, 2 Bay Leaf, 1 tbs chopped Green Chili, 2 tsp shredded Ginger, 2 tbs  Cilantro, 1/2 tsp Red Pepper, 1/2 tsp Salt, 1 tsp Sugar, 1/4 tsp Garam Masala,  ,  ,  ,  "
Rocky Road Fudge,Desert,American,"Line an 8-inch-square baking pan with wax paper or foil, and coat with non-stick spray.
Pour ½ cup of the miniature marshmallows into the bottom of the lined baking dish.
In a microwave-safe bowl, combine the chocolate chips and peanut butter. Microwave the chocolate mixture in 20-second intervals, stirring in between each interval, until the chocolate is melted.
Add the vanilla extract and stir well, until smooth.
Reserve 2 tablespoons of the chopped almonds or peanuts, and set aside.
Fold 1 ½ cups of the miniature marshmallows and the remaining chopped nuts into the chocolate mixture.
Transfer the chocolate mixture into the prepared pan and spread into an even layer. Immediately top with the reserved chopped nuts and the mallow bits or additional miniature marshmallows, if using.
Refrigerate for 4 hours, or until set.
Remove the fudge and wax paper from the pan. Carefully peel all of wax paper from the fudge.
Cut the fudge into bite-sized pieces and serve.",https://www.themealdb.com/images/media/meals/vtxyxv1483567157.jpg,http://tiphero.com/rocky-road-fudge/,"2 cups Miniature Marshmallows, 3 cups Chocolate Chips, ½ cup Peanut Butter, 1 tsp Vanilla Extract, 1 ¼ cups Peanuts,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Hot Chocolate Fudge,Desert,American,"Line an 8-inch-square baking pan with wax paper or foil, and coat with non-stick spray.
In a microwave-safe bowl, combine the dark chocolate chips, heavy cream and half of the sweetened condensed milk. Microwave the dark chocolate mixture in 20-second intervals, stirring in between each interval, until the chocolate is melted.
Add the vanilla extract to the dark chocolate mixture and stir well until smooth.
Transfer the dark chocolate mixture into the prepared pan and spread into an even layer.
In a separate bowl, combine the white chocolate chips with the remaining half of the sweetened condensed milk. Microwave the white chocolate mixture in 20-second intervals, stirring in between each interval, until the chocolate is melted.
Evenly spread the white chocolate mixture on top of dark chocolate layer.
Top the chocolate layers with the Mallow Bits or miniature marshmallows, and gently press them down.
Refrigerate for 4 hours, or until set.
Remove the fudge and wax paper from the pan. Carefully peel all of the wax paper from the fudge.
Cut the fudge into bite-sized pieces and serve.",https://www.themealdb.com/images/media/meals/xrysxr1483568462.jpg,,"2 cups Chocolate Chips, 2 tbs Heavy Cream, 1 – 14-ounce can Condensed Milk, 1 tsp Vanilla Extract, 1-⅓ cups White Chocolate Chips, 1-½ cups Miniature Marshmallows,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Christmas Pudding Flapjack,Desert,British,"Preheat the oven to 180°C/fan 160°C/gas mark 4 and grease and line a 25cm x 20cm tin. Melt the butter, sugar, syrup and orange zest in a large saucepan over a medium heat. The aim is to dissolve all the ingredients so that they are smooth, but to not lose any volume through boiling so be careful not to overheat.

Add the oats and stir well until evenly coated. Stir through the leftover Christmas pudding and tip into the prepared tin. Use a spoon to flatten the top and bake for 40 minutes until the edges start to brown. Whilst still warm in the tin, score into 12 squares. Allow to cool completely before cutting along the scores.

Keeps for 5 days in an air tight tin or freeze for up to 1 month.",https://www.themealdb.com/images/media/meals/vvusxs1483907034.jpg,,"250g salted butter, 225g dark soft brown sugar, 150g golden syrup, Zest of 1 orange, 500g rolled oats, 250g Christmas pudding,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Eton Mess,Desert,British,"Purée half the strawberries in a blender. Chop the remaining strawberries, reserving four for decoration.
Whip the double cream until stiff peaks form, then fold in the strawberry purée and crushed meringue. Fold in the chopped strawberries and ginger cordial, if using.
Spoon equal amounts of the mixture into four cold wine glasses. Serve garnished with the remaining strawberries and a sprig of mint.",https://www.themealdb.com/images/media/meals/uuxwvq1483907861.jpg,,"500g strawberries, 400ml double cream, 3 x 7.5cm meringue nests, 1 tbsp ginger cordial, sprigs of fresh Mint,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
